soil,median_soil_toc_combustion,median_soil_total_c_combustion,median_som_loi_percent_wt_loss,median_ca_co3_content,median_som_walkley_black,median_p_h_1_1_water,mad_soil_toc_combustion,mad_soil_total_c_combustion,mad_som_loi_percent_wt_loss,mad_ca_co3_content,mad_som_walkley_black,mad_p_h_1_1_water
Soil.2014.106,0.92,1.05,1.82,1.76,1.69,7.84,0.075,0.038,0.12,0.16,0.126,0.1
Soil.2014.107,1.59,1.48,2.53,0.8,2.4,7.05,0.154,0.085,0.16,0.41,0.205,0.08
Soil.2014.108,6.6,6.53,10.8,0.52,10.4,4.98,0.112,0.23,0.43,0.125,1.8,0.08
Soil.2014.109,1.69,1.66,3.21,0.635,2.9,6.47,0.088,0.072,0.21,0.124,0.16,0.1
Soil.2014.110,1.01,1.05,2.4,0.49,1.65,5.57,0.05,0.035,0.14,0.05,0.15,0.07
Soil.2014.111,1.27,1.85,2.68,6.62,2.12,7.88,0.07,0.052,0.18,0.74,0.12,0.09
Soil.2014.112,1.05,1.05,2.12,0.469,1.88,5.7,0.047,0.029,0.14,0.083,0.13,0.1
Soil.2014.113,2.07,2.15,4.18,1.19,3.3,6.85,0.14,0.066,0.19,0.26,0.37,0.08
Soil.2014.114,1.06,1.04,2.4,0.43,1.61,5.58,0.1,0.033,0.13,0.086,0.132,0.08
Soil.2014.115,0.58,0.578,1.83,1.48,1,7.17,0.04,0.033,0.17,0.308,0.115,0.11
Soil.2014.116,2.76,2.89,5.36,1.04,4.7,6.5,0.141,0.087,0.245,0.485,0.3,0.1
Soil.2014.117,3.5,3.85,6.12,3.81,5.75,7.43,0.09,0.093,0.211,0.415,0.525,0.08
Soil.2014.118,0.99,1.06,2.42,0.45,1.65,5.6,0.1,0.035,0.115,0.31,0.13,0.09
Soil.2014.119,1.77,1.84,3.82,0.5,3.18,5.91,0.068,0.077,0.18,0.22,0.173,0.09
Soil.2014.120,0.57,0.588,1.6,0.54,1,7.24,0.07,0.035,0.173,0.44,0.057,0.09
Soil.2013.101,1.22,1.25,3,0.62,1.9,6.22,0.036,0.023,0.2,0.085,0.2,0.06
Soil.2013.102,2.81,3.94,5.14,11.3,4.17,7.6,0.201,0.117,0.4,1.59,0.371,0.1
Soil.2013.103,0.94,0.978,2.24,0.5,1.5,6.57,0.07,0.022,0.155,0.084,0.114,0.07
Soil.2013.104,2.22,2.19,3.96,0.8,3.53,7.1,0.108,0.08,0.25,0.156,0.331,0.07
Soil.2013.105,0.628,1.02,1.43,4.18,1.05,8.02,0.042,0.049,0.165,0.58,0.104,0.09
Soil.2013.106,0.96,0.97,2.23,0.491,1.5,6.5,0.02,0.03,0.15,0.098,0.11,0.077
Soil.2013.107,1.83,1.86,3.81,0.59,3.2,6.63,0.025,0.029,0.133,0.11,0.278,0.067
Soil.2013.108,4.25,4.32,7.44,0.765,6.97,6.23,0.17,0.073,0.36,0.166,0.67,0.07
Soil.2013.109,2.56,4.65,4.37,18.5,3.82,7.6,0.178,0.065,0.215,1.5,0.33,0.09
Soil.2013.110,0.81,0.837,1.9,0.5,1.51,5.6,0.017,0.023,0.141,0.088,0.12,0.11
Soil.2013.111,0.9,0.939,1.7,0.482,1.65,6.87,0.02,0.045,0.1,0.119,0.11,0.065
Soil.2013.112,0.7,0.707,1.62,0.951,1.36,7.31,0.057,0.041,0.118,0.18,0.14,0.075
